player_id,name,team,role,runs_last_5,sr_last_5,wickets_last_5,economy_last_5,form_score
59,Player_KKR_14,KKR,All-Rounder,237,146.44,5,9.19,100
60,Player_KKR_15,KKR,Batsman,190,161.83,4,6.3,100
61,Player_DC_1,DC,Batsman,80,126.07,9,7.19,97
62,Player_DC_2,DC,All-Rounder,162,177.35,3,8.72,87
63,Player_DC_3,DC,All-Rounder,231,153.96,3,9.81,100
64,Player_DC_4,DC,All-Rounder,174,119.17,9,7.37,100
65,Player_DC_5,DC,All-Rounder,245,128.79,8,10.95,100
66,Player_DC_6,DC,Batsman,207,134.81,9,9.96,100
67,Player_DC_7,DC,Wicket-Keeper,153,145.28,2,6.29,79
68,Player_DC_8,DC,Bowler,199,140.72,11,9.61,100
69,Player_DC_9,DC,All-Rounder,155,133.58,8,6.15,100
70,Player_DC_10,DC,Bowler,108,108.49,6,9.09,83
71,Player_DC_11,DC,Bowler,43,123.22,8,7.17,71
72,Player_DC_12,DC,Wicket-Keeper,35,139.75,3,9.85,21
73,Player_DC_13,DC,All-Rounder,48,124.4,8,10.81,66
74,Player_DC_14,DC,Batsman,196,102.06,1,9.72,86
75,Player_DC_15,DC,Bowler,207,114.85,8,10.86,100
76,Player_RR_1,RR,Batsman,225,147.87,6,9.91,100
77,Player_RR_2,RR,Bowler,230,149.05,8,9.34,100
78,Player_RR_3,RR,Batsman,109,179.62,8,9.87,98
79,Player_RR_4,RR,Bowler,150,154.57,11,8.44,100
80,Player_RR_5,RR,Bowler,116,165.24,7,6.28,100
81,Player_RR_6,RR,Bowler,182,170.05,4,6.31,100
82,Player_RR_7,RR,Wicket-Keeper,167,117.23,2,6.97,85
83,Player_RR_8,RR,Wicket-Keeper,240,151.5,6,7.87,100
84,Player_RR_9,RR,Bowler,116,156.58,1,9.66,46
85,Player_RR_10,RR,Batsman,162,130.8,3,6.68,91
86,Player_RR_11,RR,Bowler,100,123.05,0,7.91,34
87,Player_RR_12,RR,Wicket-Keeper,206,149.17,5,7.16,100
88,Player_RR_13,RR,All-Rounder,181,174.24,4,9.46,100
89,Player_RR_14,RR,Batsman,180,148.53,4,10.3,100
90,Player_RR_15,RR,Bowler,150,144.96,1,9.59,63
91,Player_PBKS_1,PBKS,All-Rounder,49,118.82,9,6.14,84
92,Player_PBKS_2,PBKS,Bowler,23,113.16,11,8.3,82
93,Player_PBKS_3,PBKS,Wicket-Keeper,162,147.65,0,6.05,68
94,Player_PBKS_4,PBKS,Wicket-Keeper,217,136.82,6,6.48,100
95,Player_PBKS_5,PBKS,Wicket-Keeper,36,111.05,10,6.84,84
96,Player_PBKS_6,PBKS,All-Rounder,116,141.03,7,7.07,99
97,Player_PBKS_7,PBKS,Batsman,79,129.42,10,7.41,100
98,Player_PBKS_8,PBKS,Batsman,78,114.31,2,9.51,35
99,Player_PBKS_9,PBKS,Wicket-Keeper,139,168.69,5,7.89,93
100,Player_PBKS_10,PBKS,All-Rounder,124,166.15,11,6.55,100
101,Player_PBKS_11,PBKS,Batsman,31,112.03,7,9.07,53
102,Player_PBKS_12,PBKS,All-Rounder,116,130.09,8,8.34,100
103,Player_PBKS_13,PBKS,All-Rounder,61,146.26,11,7.43,100
104,Player_PBKS_14,PBKS,Bowler,87,175.56,7,10.23,79
105,Player_PBKS_15,PBKS,All-Rounder,29,162.15,3,10.1,18
106,Player_SRH_1,SRH,Bowler,146,163.13,4,8.63,87
107,Player_SRH_2,SRH,Batsman,180,127.41,0,9.63,70
108,Player_SRH_3,SRH,Batsman,203,130.56,11,10.59,100
109,Player_SRH_4,SRH,Wicket-Keeper,207,118.02,12,6.81,100
110,Player_SRH_5,SRH,Bowler,48,174.58,8,6.93,74
111,Player_SRH_6,SRH,All-Rounder,191,132.86,5,6.92,100
112,Player_SRH_7,SRH,Batsman,147,151.76,1,10.01,61
113,Player_SRH_8,SRH,Bowler,213,178.53,11,6.72,100
114,Player_SRH_9,SRH,Bowler,94,100.29,1,9.01,36
115,Player_SRH_10,SRH,Bowler,194,149.0,3,8.93,100
116,Player_SRH_11,SRH,All-Rounder,58,141.83,10,8.44,92
117,Player_SRH_12,SRH,Batsman,197,106.43,10,6.58,100
118,Player_SRH_13,SRH,Bowler,69,112.03,5,6.53,61
119,Player_SRH_14,SRH,All-Rounder,181,160.31,1,10.78,76
120,Player_SRH_15,SRH,Bowler,223,169.07,5,9.27,100
121,Player_GT_1,GT,Batsman,170,127.27,5,10.69,100
122,Player_GT_2,GT,Wicket-Keeper,188,175.72,12,7.88,100
123,Player_GT_3,GT,Batsman,188,153.71,9,10.99,100
124,Player_GT_4,GT,All-Rounder,104,130.67,0,7.49,37
125,Player_GT_5,GT,Wicket-Keeper,173,113.71,0,10.84,64
126,Player_GT_6,GT,All-Rounder,99,177.8,4,7.96,65
127,Player_GT_7,GT,All-Rounder,134,165.64,3,7.0,77
128,Player_GT_8,GT,All-Rounder,132,120.65,5,9.53,86
129,Player_GT_9,GT,All-Rounder,173,177.27,0,7.19,72
130,Player_GT_10,GT,Bowler,140,117.79,5,7.4,95
131,Player_GT_11,GT,Bowler,73,150.93,5,8.38,59
132,Player_GT_12,GT,Batsman,186,138.21,6,8.37,100
133,Player_GT_13,GT,Wicket-Keeper,150,160.56,8,10.54,100
134,Player_GT_14,GT,All-Rounder,212,174.97,2,6.79,100
135,Player_GT_15,GT,Batsman,187,175.86,11,9.98,100
136,Player_LSG_1,LSG,Batsman,139,122.39,8,8.26,100
137,Player_LSG_2,LSG,Bowler,152,152.22,10,10.42,100
138,Player_LSG_3,LSG,All-Rounder,228,122.31,6,7.57,100
139,Player_LSG_4,LSG,Wicket-Keeper,200,128.79,0,9.26,81
140,Player_LSG_5,LSG,Batsman,213,167.55,10,7.89,100
141,Player_LSG_6,LSG,Wicket-Keeper,169,113.45,12,9.6,100
142,Player_LSG_7,LSG,Wicket-Keeper,190,161.67,0,7.42,80
143,Player_LSG_8,LSG,Wicket-Keeper,72,127.18,12,9.29,100
144,Player_LSG_9,LSG,All-Rounder,81,102.41,12,6.39,100
145,Player_LSG_10,LSG,Bowler,101,108.04,12,8.74,100
146,Player_LSG_11,LSG,Batsman,240,114.98,12,9.29,100
147,Player_LSG_12,LSG,Batsman,111,125.53,0,6.27,42
148,Player_LSG_13,LSG,Bowler,168,133.35,4,6.24,100
149,Player_LSG_14,LSG,Bowler,115,119.9,0,6.96,43
150,Player_LSG_15,LSG,Bowler,233,151.92,2,8.84,100
