match_id,season,team1,team2,venue,pitch_type,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
45,2023,DC,GT,M. Chinnaswamy Stadium,Balanced,DC,bowl,DC,0,6
46,2023,LSG,RCB,Sawai Mansingh Stadium,Batting Friendly,RCB,bowl,LSG,38,0
47,2023,MI,RR,Rajiv Gandhi Intl Stadium,Batting Friendly,MI,bowl,RR,0,2
48,2023,PBKS,DC,Sawai Mansingh Stadium,Batting Friendly,PBKS,bowl,DC,0,5
49,2023,RCB,KKR,Wankhede Stadium,Bowling Friendly,RCB,bat,KKR,0,3
50,2023,GT,LSG,Eden Gardens,Batting Friendly,GT,bat,LSG,0,1
51,2023,PBKS,LSG,Wankhede Stadium,Spin Friendly,LSG,bat,LSG,18,0
52,2023,GT,RR,M. A. Chidambaram Stadium,Batting Friendly,GT,bat,GT,0,8
53,2023,RR,LSG,Eden Gardens,Spin Friendly,RR,bowl,RR,0,3
54,2023,KKR,SRH,Narendra Modi Stadium,Spin Friendly,KKR,bat,SRH,40,0
55,2023,MI,LSG,Rajiv Gandhi Intl Stadium,Spin Friendly,LSG,bat,LSG,0,8
56,2023,SRH,PBKS,M. A. Chidambaram Stadium,Batting Friendly,SRH,bowl,SRH,0,10
57,2023,CSK,DC,Rajiv Gandhi Intl Stadium,Spin Friendly,CSK,bowl,CSK,12,0
58,2023,CSK,GT,M. Chinnaswamy Stadium,Balanced,GT,bat,CSK,0,7
59,2023,CSK,RR,Arun Jaitley Stadium,Bowling Friendly,CSK,bat,CSK,15,0
60,2023,CSK,RR,Sawai Mansingh Stadium,Spin Friendly,CSK,bowl,RR,50,0
61,2023,CSK,KKR,Sawai Mansingh Stadium,Batting Friendly,CSK,bat,CSK,18,0
62,2023,CSK,PBKS,M. A. Chidambaram Stadium,Spin Friendly,CSK,bowl,CSK,4,0
63,2023,SRH,CSK,Rajiv Gandhi Intl Stadium,Balanced,SRH,bowl,SRH,2,0
64,2023,PBKS,MI,M. Chinnaswamy Stadium,Bowling Friendly,PBKS,bowl,MI,21,0
65,2023,LSG,RCB,Eden Gardens,Batting Friendly,LSG,bat,LSG,35,0
66,2023,MI,DC,Wankhede Stadium,Batting Friendly,DC,bowl,MI,9,0
67,2023,PBKS,RR,Arun Jaitley Stadium,Balanced,RR,bowl,RR,0,7
68,2023,LSG,RR,Sawai Mansingh Stadium,Bowling Friendly,LSG,bowl,RR,34,0
69,2023,GT,LSG,Wankhede Stadium,Spin Friendly,GT,bat,GT,37,0
70,2023,KKR,LSG,Arun Jaitley Stadium,Bowling Friendly,LSG,bat,KKR,0,7
71,2023,MI,KKR,Rajiv Gandhi Intl Stadium,Batting Friendly,MI,bowl,MI,8,0
72,2023,KKR,RCB,Wankhede Stadium,Batting Friendly,RCB,bat,RCB,9,0
73,2023,KKR,MI,Wankhede Stadium,Spin Friendly,MI,bat,KKR,28,0
74,2023,SRH,DC,Arun Jaitley Stadium,Batting Friendly,SRH,bowl,SRH,2,0
75,2024,DC,RCB,Wankhede Stadium,Batting Friendly,RCB,bowl,DC,39,0
76,2024,LSG,SRH,M. Chinnaswamy Stadium,Bowling Friendly,SRH,bat,LSG,0,3
77,2024,GT,SRH,Rajiv Gandhi Intl Stadium,Batting Friendly,SRH,bat,GT,0,6
78,2024,PBKS,RR,Eden Gardens,Balanced,RR,bowl,RR,33,0
79,2024,MI,SRH,M. Chinnaswamy Stadium,Bowling Friendly,SRH,bat,SRH,0,1
80,2024,PBKS,MI,Narendra Modi Stadium,Bowling Friendly,PBKS,bowl,PBKS,22,0
81,2024,GT,CSK,Eden Gardens,Batting Friendly,CSK,bat,GT,0,3
82,2024,LSG,MI,Eden Gardens,Spin Friendly,LSG,bowl,MI,0,1
83,2024,SRH,CSK,M. A. Chidambaram Stadium,Spin Friendly,CSK,bowl,SRH,26,0
84,2024,SRH,LSG,Eden Gardens,Batting Friendly,LSG,bowl,LSG,42,0
85,2024,CSK,SRH,Sawai Mansingh Stadium,Batting Friendly,CSK,bowl,SRH,0,3
86,2024,DC,GT,M. Chinnaswamy Stadium,Balanced,DC,bowl,GT,17,0
87,2024,PBKS,RR,Rajiv Gandhi Intl Stadium,Batting Friendly,RR,bowl,RR,35,0
88,2024,MI,GT,Wankhede Stadium,Spin Friendly,GT,bowl,MI,18,0
89,2024,CSK,RCB,Wankhede Stadium,Batting Friendly,RCB,bowl,RCB,0,10
90,2024,RR,DC,Wankhede Stadium,Balanced,RR,bowl,RR,42,0
91,2024,MI,RCB,Sawai Mansingh Stadium,Batting Friendly,MI,bowl,RCB,2,0
92,2024,CSK,KKR,Eden Gardens,Balanced,KKR,bat,KKR,39,0
93,2024,CSK,LSG,Wankhede Stadium,Batting Friendly,LSG,bat,LSG,26,0
94,2024,DC,KKR,Narendra Modi Stadium,Bowling Friendly,DC,bat,KKR,0,5
95,2024,DC,GT,Eden Gardens,Bowling Friendly,DC,bowl,GT,0,1
96,2024,LSG,DC,Narendra Modi Stadium,Spin Friendly,LSG,bat,LSG,0,3
97,2024,GT,PBKS,Wankhede Stadium,Batting Friendly,PBKS,bowl,PBKS,8,0
98,2024,LSG,RCB,M. A. Chidambaram Stadium,Balanced,LSG,bowl,RCB,0,4
99,2024,RR,SRH,Rajiv Gandhi Intl Stadium,Bowling Friendly,RR,bat,SRH,10,0
100,2024,RR,RCB,Arun Jaitley Stadium,Balanced,RCB,bat,RR,0,4
101,2024,PBKS,RR,M. Chinnaswamy Stadium,Batting Friendly,PBKS,bowl,RR,0,3
102,2024,DC,LSG,Arun Jaitley Stadium,Bowling Friendly,DC,bat,DC,0,1
103,2024,LSG,RR,Arun Jaitley Stadium,Spin Friendly,RR,bowl,LSG,10,0
104,2024,RR,LSG,Narendra Modi Stadium,Spin Friendly,LSG,bowl,LSG,16,0
105,2024,RR,CSK,Sawai Mansingh Stadium,Bowling Friendly,RR,bowl,CSK,20,0
106,2024,DC,PBKS,Wankhede Stadium,Spin Friendly,DC,bat,PBKS,36,0
107,2024,RR,PBKS,Eden Gardens,Balanced,RR,bowl,PBKS,41,0
108,2024,CSK,SRH,Rajiv Gandhi Intl Stadium,Balanced,CSK,bowl,SRH,0,7
109,2024,GT,MI,Narendra Modi Stadium,Balanced,MI,bowl,GT,0,9
110,2024,KKR,LSG,Eden Gardens,Bowling Friendly,KKR,bat,LSG,2,0
111,2024,PBKS,KKR,Arun Jaitley Stadium,Bowling Friendly,PBKS,bowl,KKR,0,5
112,2024,LSG,SRH,Rajiv Gandhi Intl Stadium,Bowling Friendly,SRH,bowl,LSG,14,0
113,2024,RCB,SRH,Narendra Modi Stadium,Batting Friendly,RCB,bowl,RCB,0,8
114,2024,DC,MI,Sawai Mansingh Stadium,Spin Friendly,MI,bowl,MI,0,4
115,2024,SRH,PBKS,Wankhede Stadium,Bowling Friendly,PBKS,bat,SRH,0,8
116,2024,LSG,RR,Eden Gardens,Batting Friendly,RR,bat,RR,46,0
117,2024,KKR,RR,Eden Gardens,Batting Friendly,KKR,bat,KKR,18,0
118,2024,CSK,KKR,M. A. Chidambaram Stadium,Spin Friendly,KKR,bat,CSK,23,0
119,2024,GT,DC,Narendra Modi Stadium,Batting Friendly,DC,bat,GT,3,0
120,2024,CSK,MI,Narendra Modi Stadium,Batting Friendly,MI,bat,MI,36,0
121,2024,KKR,PBKS,Narendra Modi Stadium,Batting Friendly,KKR,bat,PBKS,14,0
122,2024,LSG,SRH,M. A. Chidambaram Stadium,Spin Friendly,LSG,bowl,SRH,30,0
123,2024,LSG,DC,M. Chinnaswamy Stadium,Bowling Friendly,DC,bat,DC,45,0
124,2024,KKR,LSG,Sawai Mansingh Stadium,Balanced,LSG,bat,LSG,31,0
125,2024,LSG,SRH,M. Chinnaswamy Stadium,Balanced,SRH,bowl,LSG,9,0
126,2024,GT,SRH,Narendra Modi Stadium,Bowling Friendly,SRH,bowl,GT,0,9
127,2024,MI,CSK,M. A. Chidambaram Stadium,Batting Friendly,MI,bat,MI,0,3
128,2024,SRH,GT,Sawai Mansingh Stadium,Balanced,GT,bowl,SRH,3,0
129,2024,SRH,PBKS,Narendra Modi Stadium,Batting Friendly,SRH,bat,SRH,0,7
130,2024,RCB,KKR,Sawai Mansingh Stadium,Balanced,KKR,bat,KKR,13,0
131,2024,LSG,RCB,Arun Jaitley Stadium,Balanced,LSG,bowl,RCB,45,0
132,2024,RCB,GT,Narendra Modi Stadium,Balanced,RCB,bat,RCB,0,3
133,2024,LSG,MI,Narendra Modi Stadium,Bowling Friendly,MI,bowl,LSG,46,0
134,2024,RR,GT,Wankhede Stadium,Balanced,RR,bat,GT,0,1
135,2024,SRH,GT,Arun Jaitley Stadium,Spin Friendly,GT,bowl,GT,0,7
136,2024,KKR,MI,M. A. Chidambaram Stadium,Balanced,MI,bat,MI,42,0
137,2024,KKR,DC,Eden Gardens,Bowling Friendly,DC,bowl,KKR,0,10
138,2024,KKR,CSK,M. A. Chidambaram Stadium,Balanced,CSK,bowl,CSK,0,2
139,2024,CSK,PBKS,Narendra Modi Stadium,Balanced,CSK,bat,CSK,0,3
140,2024,GT,LSG,M. A. Chidambaram Stadium,Spin Friendly,LSG,bat,LSG,0,10
141,2024,KKR,MI,Eden Gardens,Bowling Friendly,MI,bowl,KKR,0,3
142,2024,PBKS,MI,Narendra Modi Stadium,Balanced,MI,bowl,MI,13,0
143,2024,PBKS,MI,Wankhede Stadium,Batting Friendly,PBKS,bowl,PBKS,9,0
144,2024,LSG,CSK,Sawai Mansingh Stadium,Batting Friendly,CSK,bowl,CSK,0,8
145,2024,PBKS,GT,Arun Jaitley Stadium,Bowling Friendly,PBKS,bat,GT,12,0
146,2024,KKR,RR,Sawai Mansingh Stadium,Spin Friendly,RR,bat,RR,0,9
147,2024,KKR,RR,Eden Gardens,Balanced,RR,bat,KKR,27,0
148,2024,KKR,RR,M. A. Chidambaram Stadium,Spin Friendly,RR,bat,RR,0,8
